ID,Airplane Tail,Software Crate Number,Software Part Number,Features,Episode Start Date
154,NTCJJH,OX8AB-8SUNS-4VPPS,BOVLE-YS4DF-RODW5,['F5'],2022-01-09T02:57:54
155,NCFXUR,U8FRF-GPLD4-NARYW,IIUL5-0YDTK-0D432,['F5'],2022-01-09T03:43:25
156,NCFXUR,DSZYH-KSDGC-NCYXU,OXGIP-471PI-GA2A6,['F5'],2022-01-09T03:43:30
157,NCFXUR,DHG64-8UQIE-9J7Q7,TR6NB-8YPUS-GTQHC,['F5'],2022-01-09T03:43:31
158,NCFXUR,QFXZ9-OPN9E-DMDAD,BOVLE-YS4DF-RODW5,['F5'],2022-01-09T03:43:32
159,NCFXUR,UJQ52-1M1TP-10OF0,RH9AK-2IIRK-8RTHJ,['F5'],2022-01-09T03:43:32
160,NULOTN,74IV7-L46GG-6Z9H3,IIUL5-0YDTK-0D432,['F5'],2022-01-09T10:02:19
161,NULOTN,MDSQ8-K142I-NBHZX,OXGIP-471PI-GA2A6,['F5'],2022-01-09T10:02:19
162,NULOTN,Q9P1U-AI00J-K0IDL,TR6NB-8YPUS-GTQHC,['F5'],2022-01-09T10:02:19
163,NULOTN,184FO-F4TWO-Y4N03,RH9AK-2IIRK-8RTHJ,['F5'],2022-01-09T10:02:29
164,NULOTN,N5E11-EXJDX-CF964,BOVLE-YS4DF-RODW5,['F5'],2022-01-09T10:02:29
165,NHBVOI,7DF5I-P26AV-7SUOK,H8537-KV9JP-UYL0V,"['S1', 'F1', 'F1', 'F2', 'S1', 'F1', 'F1', 'F2', 'S1', 'F1', 'F1', 'F2', 'S1', 'F1', 'F1', 'F2', 'E1', 'E1', 'E1', 'F4', 'E1']",2022-01-09T13:45:33
166,NLBOHD,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-11T21:17:28
167,NFBDKL,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-11T21:18:09
168,NWLHMT,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-11T21:18:09
169,NXTHOW,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-11T21:19:27
170,NIJHTC,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-11T21:21:17
171,NTZPMR,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-11T21:26:43
172,NOULDM,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-11T21:30:41
173,NCFXUR,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-11T21:34:47
174,NDLDYG,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-11T22:06:21
175,NWUEEA,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-11T22:13:42
176,NWKQLM,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-11T23:01:16
177,NEHTFG,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-11T23:18:01
178,NFPWOK,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-11T23:50:51
179,NMCUZQ,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-12T00:23:09
180,NULOTN,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-12T01:05:11
181,NLBOHD,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-12T01:22:58
182,NXIBKV,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-12T01:34:56
183,NLBOHD,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-12T03:52:16
184,NTCJJH,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-12T12:55:34
185,NFBDKL,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-12T14:12:53
186,NSLXPO,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-12T14:12:53
187,NSLXPO,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-12T17:38:48
188,NFBDKL,256JL-RU2N4-1G98B,91F6X-SEA8F-9PJ2N,"['S1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-12T17:38:48
189,NLXADM,4V014-AKI7J-IQWAW,IIUL5-0YDTK-0D432,['F5'],2022-01-12T21:57:13
190,NLXADM,VL65J-710Y4-MYW6H,OXGIP-471PI-GA2A6,['F5'],2022-01-12T21:57:14
191,NLXADM,36G92-SMFMZ-B2999,TR6NB-8YPUS-GTQHC,['F5'],2022-01-12T21:57:15
192,NLXADM,KXD7E-5W69V-8XYB8,BOVLE-YS4DF-RODW5,['F5'],2022-01-12T21:57:18
193,NLXADM,UCFZB-CS9GM-NCOPU,RH9AK-2IIRK-8RTHJ,['F5'],2022-01-12T21:57:18
194,NHVOTR,DKX2V-RKIC0-I5T40,FJCE8-8Y2IM-GAW63,"['S1', 'F1', 'F1', 'F2', 'S1', 'F1', 'F1', 'F2', 'E1', 'E1']",2022-01-15T00:54:34
195,NWUEEA,ABIF0-TCLW5-W5BCU,0VPU6-EE0TW-FHML4,['F5'],2022-01-15T03:21:54
196,NWUEEA,E8UU6-6V771-KM1KT,IIUL5-0YDTK-0D432,['F5'],2022-01-15T03:21:54
197,NWUEEA,SH698-KS4OA-TUC5W,HXUPE-RYS7I-16DSY,['F5'],2022-01-15T03:21:54
198,NWUEEA,2T41G-EO5N7-U133N,TR6NB-8YPUS-GTQHC,['F5'],2022-01-15T03:21:56
199,NWUEEA,3GQ6Z-PLAHF-RAFE7,OXGIP-471PI-GA2A6,['F5'],2022-01-15T03:21:56
200,NWUEEA,FGGLM-BBS07-4WXN6,RH9AK-2IIRK-8RTHJ,['F5'],2022-01-15T03:21:58
201,NEHTFG,CD22X-TPVZU-BW0SY,IIUL5-0YDTK-0D432,['F5'],2022-01-16T21:46:03
202,NEHTFG,L7KLW-UYY4Z-N7PMP,OXGIP-471PI-GA2A6,['F5'],2022-01-16T21:46:03
203,NEHTFG,PGAIA-IP71X-NJ1LO,TR6NB-8YPUS-GTQHC,['F5'],2022-01-16T21:46:06
204,NEHTFG,0EYCR-4KAKW-ZOKI6,RH9AK-2IIRK-8RTHJ,['F5'],2022-01-16T21:46:08
205,NEHTFG,RIWA9-J2WII-BY4N2,BOVLE-YS4DF-RODW5,['F5'],2022-01-16T21:46:11
206,NHBVOI,D2M2W-SF1RM-JSC3Y,RH9AK-2IIRK-8RTHJ,"['S1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-17T11:13:59
207,NAEDAI,SC0LK-W29BN-F1O9N,S6V3Y-OXVS6-IAZX7,['F5'],2022-01-17T18:00:41
208,NAEDAI,CWM2A-YT2KX-VKV2E,S6V3Y-OXVS6-IAZX7,['E3'],2022-01-17T18:00:41
209,NAEDAI,M02RQ-W2JNN-NJGK1,0019N-BNE01-260SZ,['F5'],2022-01-17T18:00:55
210,NAEDAI,QSY28-C8HW9-MQ5O4,0019N-BNE01-260SZ,['E3'],2022-01-17T18:00:55
211,NAEDAI,ZVY3Y-JUGYL-GVMAC,OXGIP-471PI-GA2A6,['F5'],2022-01-17T19:09:40
212,NAEDAI,6BS2Y-S1WZ9-0G5A9,OXGIP-471PI-GA2A6,['E3'],2022-01-17T19:09:40
213,NAEDAI,DV7HN-N69Y4-MV4KP,EBN95-L4H4Y-2AZRQ,['F5'],2022-01-17T19:12:07
214,NAEDAI,2ELUF-6V14X-YCO8G,EBN95-L4H4Y-2AZRQ,['E3'],2022-01-17T19:12:07
215,NLBOHD,6JI31-TR7YH-0ROEC,VHUXN-69YIC-3PY3I,['F5'],2022-01-21T02:18:03
216,NWUEEA,3D3ZF-XXV74-V5118,VHUXN-69YIC-3PY3I,['F5'],2022-01-21T05:35:45
217,NHBVOI,W7IHW-KCBFN-NVHIB,G4Y1I-R3F0H-RUWTI,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-21T12:12:54
218,NTCJJH,HYCGE-32Q8H-8YC1H,P2RIT-O9EF3-1S7NG,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-22T16:46:42
219,NCFXUR,HYCGE-32Q8H-8YC1H,P2RIT-O9EF3-1S7NG,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-22T16:46:43
220,NXIBKV,HYCGE-32Q8H-8YC1H,P2RIT-O9EF3-1S7NG,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-22T16:48:45
221,NDWOVW,HYCGE-32Q8H-8YC1H,P2RIT-O9EF3-1S7NG,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-22T16:48:54
222,NULOTN,HYCGE-32Q8H-8YC1H,P2RIT-O9EF3-1S7NG,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-22T16:48:56
223,NXTHOW,HYCGE-32Q8H-8YC1H,P2RIT-O9EF3-1S7NG,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-22T16:50:57
224,NXTHOW,HYCGE-32Q8H-8YC1H,P2RIT-O9EF3-1S7NG,"['S1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-22T16:55:51
225,NTZPMR,HYCGE-32Q8H-8YC1H,P2RIT-O9EF3-1S7NG,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-22T16:57:53
226,NXTHOW,JM5DI-3GL94-GFASZ,7QU73-0JZJ9-KFLUJ,['F5'],2022-01-22T17:06:45
227,NCFXUR,K8UBA-WGDCI-WF4C9,7QU73-0JZJ9-KFLUJ,['F5'],2022-01-22T17:07:05
228,NTCJJH,227A1-XITVK-CCQKR,7QU73-0JZJ9-KFLUJ,['F5'],2022-01-22T17:07:08
229,NULOTN,K4CYL-CZO57-APQBE,7QU73-0JZJ9-KFLUJ,['F5'],2022-01-22T17:09:53
230,NXIBKV,NKMFC-S462I-AB9RM,7QU73-0JZJ9-KFLUJ,['F5'],2022-01-22T17:10:13
231,NDWOVW,RG5GY-XJOE9-GADIX,7QU73-0JZJ9-KFLUJ,['F5'],2022-01-22T17:10:36
232,NDLDYG,HYCGE-32Q8H-8YC1H,7QU73-0JZJ9-KFLUJ,"['S1', 'F1', 'F1', 'F2', 'F1', 'F4', 'E1']",2022-01-22T17:34:02
233,NWUEEA,F049O-KCEOT-02QTF,7QU73-0JZJ9-KFLUJ,['F5'],2022-01-22T17:40:40
234,NWUEEA,HYCGE-32Q8H-8YC1H,P2RIT-O9EF3-1S7NG,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-22T17:40:43
235,NWKQLM,HYCGE-32Q8H-8YC1H,7QU73-0JZJ9-KFLUJ,"['S1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-22T17:50:41
236,NOULDM,XPXES-CMVFX-3WZXS,7QU73-0JZJ9-KFLUJ,['F5'],2022-01-22T18:04:44
237,NOULDM,HYCGE-32Q8H-8YC1H,P2RIT-O9EF3-1S7NG,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-22T18:04:45
238,NEHTFG,3EVHH-LNIPP-O2O1P,7QU73-0JZJ9-KFLUJ,['F5'],2022-01-22T18:06:26
239,NFPWOK,SQXRS-S8EIR-ND1RC,7QU73-0JZJ9-KFLUJ,['F5'],2022-01-22T18:56:54
240,NFPWOK,HYCGE-32Q8H-8YC1H,P2RIT-O9EF3-1S7NG,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-22T18:57:02
241,NIJHTC,HYCGE-32Q8H-8YC1H,7QU73-0JZJ9-KFLUJ,"['S1', 'F1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-22T19:18:19
242,NLXADM,HYCGE-32Q8H-8YC1H,7QU73-0JZJ9-KFLUJ,"['S1', 'F1', 'F1', 'F2', 'F1', 'F4', 'E1']",2022-01-22T19:29:19
243,NEHTFG,HYCGE-32Q8H-8YC1H,P2RIT-O9EF3-1S7NG,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-22T19:32:50
244,NLBOHD,HYCGE-32Q8H-8YC1H,7QU73-0JZJ9-KFLUJ,"['S1', 'F1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-22T19:52:10
245,NWLHMT,HYCGE-32Q8H-8YC1H,P2RIT-O9EF3-1S7NG,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-22T20:06:28
246,NFBDKL,HYCGE-32Q8H-8YC1H,P2RIT-O9EF3-1S7NG,"['S1', 'F1', 'F1', 'F2', 'F1', 'E1']",2022-01-22T20:06:28
247,NFBDKL,UT1UA-O5BRY-7UZ03,7QU73-0JZJ9-KFLUJ,['F5'],2022-01-22T20:06:31
248,NWLHMT,501U1-DI1N6-OD9K7,7QU73-0JZJ9-KFLUJ,['F5'],2022-01-22T20:06:31
249,NTZPMR,ZP9OF-W4SF2-MF70H,7QU73-0JZJ9-KFLUJ,['F5'],2022-01-22T20:07:41
250,NTZPMR,HYCGE-32Q8H-8YC1H,P2RIT-O9EF3-1S7NG,"['S1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-23T00:43:16
251,NTZPMR,HYCGE-32Q8H-8YC1H,P2RIT-O9EF3-1S7NG,"['S1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-23T02:35:16
252,NALIMR,643SM-F7A4T-B6IER,AZ1M5-0IDID-BJXBG,['F5'],2022-01-23T03:26:27
253,NALIMR,ZNN68-5GC8N-EVNXV,MA9B3-9GT0X-K4Y1K,['F5'],2022-01-23T03:26:28
254,NALIMR,KMDJS-8MGV4-4MHRZ,WOB82-BKWVW-3ZZ3G,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-23T03:26:29
255,NHVOTR,SPHQX-24G1S-A3LS8,4Z4G1-WKEN2-YN8Q1,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-23T10:53:28
256,NHVOTR,SPHQX-24G1S-A3LS8,4Z4G1-WKEN2-YN8Q1,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-23T12:10:57
257,NHVOTR,SPHQX-24G1S-A3LS8,4Z4G1-WKEN2-YN8Q1,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-23T14:12:37
258,NHBVOI,SPHQX-24G1S-A3LS8,4Z4G1-WKEN2-YN8Q1,"['S1', 'F1', 'F1', 'F2', 'E1']",2022-01-23T14:50:25
259,NHBVOI,SPHQX-24G1S-A3LS8,4Z4G1-WKEN2-YN8Q1,"['S1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-23T15:01:04
260,NFBDKL,WMFAG-HBMN1-V1F4S,VHUXN-69YIC-3PY3I,['F5'],2022-01-24T01:34:31
261,NWLHMT,TFO5O-HLOLY-0ERZY,VHUXN-69YIC-3PY3I,['F5'],2022-01-24T01:34:31
262,NTCJJH,CSK84-Q8X0L-Y9SPI,VHUXN-69YIC-3PY3I,['F5'],2022-01-24T04:54:22
263,NGSMYE,4UM7K-JTH37-ROA07,HF7BV-A26H9-TFEYR,['F5'],2022-01-24T16:38:03
264,NGSMYE,RXCYF-7L4OA-0R32S,HF7BV-A26H9-TFEYR,['E3'],2022-01-24T16:38:03
265,NGSMYE,O9ICX-7QR9B-W4TD9,ZWNPS-LZ1OY-LEII0,['F5'],2022-01-24T16:38:03
266,NGSMYE,46JJA-QQVNX-V8UYF,ZWNPS-LZ1OY-LEII0,['E3'],2022-01-24T16:38:03
267,NGSMYE,ZL1NX-WLH09-8D4JQ,K0FUY-3H5JN-BXT1H,['E3'],2022-01-24T17:12:02
268,NGSMYE,KYEVR-TRABP-ELL5Z,K0FUY-3H5JN-BXT1H,['F5'],2022-01-24T17:48:49
269,NGSMYE,W5TRC-NI05B-BJI4T,K0FUY-3H5JN-BXT1H,['E3'],2022-01-24T17:49:45
270,NAEDAI,NPKL2-JXDMS-AOX4P,1XH6N-JEUZ3-W4RX0,['E3'],2022-01-25T18:47:54
271,NAEDAI,F0U4F-YRCPK-261KX,GRGTD-KHUY8-IRIP5,['E3'],2022-01-26T15:24:53
272,NAEDAI,O5GN6-S90BQ-WET8N,1XH6N-JEUZ3-W4RX0,['E3'],2022-01-26T15:47:26
273,NAEDAI,37IBV-N7IJE-JH7VY,0019N-BNE01-260SZ,['F5'],2022-01-26T17:58:45
274,NAEDAI,S15PM-W7OXQ-YIH77,GRGTD-KHUY8-IRIP5,['E3'],2022-01-26T18:00:15
275,NAEDAI,YSF59-BN8BO-2OUO1,0019N-BNE01-260SZ,['F5'],2022-01-26T19:10:38
276,NAEDAI,B8A9Q-HJ6XZ-HXEWF,GRGTD-KHUY8-IRIP5,['E3'],2022-01-26T19:11:09
277,NHVOTR,SPHQX-24G1S-A3LS8,4Z4G1-WKEN2-YN8Q1,"['S1', 'F1', 'F1', 'F2', 'F4', 'E1']",2022-01-26T23:16:59
278,NGSMYE,25IIT-FUF85-JWWV8,HG2HJ-90ENB-7ITQP,['F5'],2022-01-27T02:44:10
279,NGSMYE,4GRFM-3IP55-33GO1,HG2HJ-90ENB-7ITQP,['E3'],2022-01-27T02:44:11
280,NAEDAI,Z4YWG-YACQ3-Z0UE8,5EU88-HEKRV-PVX9B,['E3'],2022-01-27T14:49:21
281,NAEDAI,JEI79-F1N0X-YTUSF,5EU88-HEKRV-PVX9B,['E3'],2022-01-27T17:35:58
282,NGSMYE,OXMDK-SL2FE-O33X0,Y67H0-Q93BW-TQCND,['E3'],2022-01-27T17:58:09
283,NGSMYE,7P6IE-CV2FE-NFY56,LWIWJ-57Y9Q-AJYDO,['E3'],2022-01-27T20:35:13
284,NGSMYE,FW88R-YIOYH-1W6X4,QOR9J-066TH-NP84Y,['F5'],2022-01-28T15:46:38
285,NGSMYE,M4C5E-MIUZV-SJAR1,AQ0CW-9J53O-MGYUS,['E3'],2022-01-28T15:48:03
286,NAEDAI,KH1U8-UT3K4-ZN1HW,X2BC6-9OQTI-00JAG,['E3'],2022-01-28T16:22:27
287,NAEDAI,78KY4-SW461-NGS6X,X2BC6-9OQTI-00JAG,['E3'],2022-01-28T17:46:49
288,NAEDAI,EQ9MO-VHCEZ-V3L9E,VSK1R-17L91-8LM42,['F5'],2022-01-28T18:23:04
289,NAEDAI,ZDRCM-QPLNU-P3DKM,X2BC6-9OQTI-00JAG,['E3'],2022-01-28T18:24:04
290,NLBOHD,XSRUV-4Z1L6-A7L0T,IIUL5-0YDTK-0D432,['F5'],2022-01-30T00:11:36
291,NLBOHD,6P973-E238U-6HQPP,OXGIP-471PI-GA2A6,['F5'],2022-01-30T00:11:37
292,NLBOHD,9CFHQ-NXERY-IC9B1,TR6NB-8YPUS-GTQHC,['F5'],2022-01-30T00:11:37
293,NLBOHD,DQHQA-DWWUI-UYJRV,RH9AK-2IIRK-8RTHJ,['F5'],2022-01-30T00:11:38
294,NLBOHD,KODFL-ZOAHP-C06CM,BOVLE-YS4DF-RODW5,['F5'],2022-01-30T00:11:47
295,NKWWBH,A5VOR-AVMCU-WZIEH,31CSF-365IW-2VB3Z,"['S1', 'F1', 'F1', 'F2', 'F1', 'F4', 'E1']",2022-01-31T18:50:12
296,NBAKPD,43419-ZJGSZ-BD0UA,S5Z0L-X2MDD-8F8XD,['E3'],2022-02-01T22:59:37
297,NKGHXN,I2NSN-VCSSV-EJ0AF,RZ32Y-LR4YX-D9JZ1,['E3'],2022-02-01T22:59:41
298,NMPNRT,S3PEH-I1RJK-SFPX4,S3IP8-0OYBJ-ZJ9MT,['E3'],2022-02-01T22:59:45
299,NSAPSG,NQCXI-IWOEX-VSQUA,8FYKK-4GC8E-COZ1S,['E3'],2022-02-01T22:59:55
300,NUISCZ,5O16O-QGC19-XX61M,9R6CQ-ADDMG-OADZ6,['E3'],2022-02-01T23:00:01
301,NCFXUR,2UL4E-7706D-X9W77,9R6CQ-ADDMG-OADZ6,['E3'],2022-02-01T23:00:06
302,NBAKPD,LVRAL-IEWYX-HFMWO,9R6CQ-ADDMG-OADZ6,['E3'],2022-02-01T23:00:59
303,NKGHXN,GHQQV-O8DTT-KMX5E,9R6CQ-ADDMG-OADZ6,['E3'],2022-02-01T23:01:03
304,NCFXUR,H2OCH-NH3ZH-B3BBU,8FYKK-4GC8E-COZ1S,['E3'],2022-02-01T23:01:13
305,NBAKPD,SBLMV-ZWO9O-ATRNX,8FYKK-4GC8E-COZ1S,['E3'],2022-02-01T23:02:05
306,NMPNRT,MMUYY-VOKGG-2HZFY,RJQDC-7GONY-OREY2,['E3'],2022-02-01T23:02:12
307,NSAPSG,IRXSE-IX1H6-GA5OF,RJQDC-7GONY-OREY2,['E3'],2022-02-01T23:02:22
308,NUISCZ,4YDB2-7V615-PDGN8,RJQDC-7GONY-OREY2,['E3'],2022-02-01T23:02:29
309,NKGHXN,PPZYU-SP7MH-92TTN,520BK-HJ6DK-EAKSM,['E3'],2022-02-01T23:02:44
310,NSAPSG,S78AK-0SFHJ-ZL60M,CET9R-0XS38-ZRVIT,['E3'],2022-02-01T23:03:25
311,NUISCZ,OYL2P-TMR55-I9UKG,S3IP8-0OYBJ-ZJ9MT,['E3'],2022-02-01T23:03:32
312,NMPNRT,9TLM3-9C17N-R4WA0,9R6CQ-ADDMG-OADZ6,['E3'],2022-02-01T23:03:37
313,NCFXUR,6RXI8-BC21N-YHDSG,RJQDC-7GONY-OREY2,['E3'],2022-02-01T23:03:44
314,NKGHXN,J2P2E-HBAVD-KMHX2,RJQDC-7GONY-OREY2,['E3'],2022-02-01T23:03:45
315,NKGHXN,FD4PN-TLHAT-J9J13,OA3YZ-4Q0YK-FOW31,['E3'],2022-02-01T23:03:56
316,NCFXUR,I33JS-I554G-AGZEL,JPJ4O-22HQB-BRX45,['E3'],2022-02-01T23:04:03
317,NKGHXN,POZ0L-NT4A7-5NORQ,KM3CG-5XZTB-9GRF5,['E3'],2022-02-01T23:04:04
318,NCFXUR,521AX-JSE8R-LD8O1,520BK-HJ6DK-EAKSM,['E3'],2022-02-01T23:04:04
319,NCFXUR,OLKVZ-WVQJG-C9FW2,KFHL6-72HZU-U7138,['E3'],2022-02-01T23:04:04
320,NCFXUR,5CVSX-82R7S-I5YLL,75LZX-91168-XCKJJ,['E3'],2022-02-01T23:04:06
321,NKGHXN,DKD0B-FKMHE-FA3Y4,CWRMU-I2LIF-A20DE,['E3'],2022-02-01T23:04:12
322,NMPNRT,IA6SE-XJEEF-ZSEU5,AO9EX-YTOXQ-Z8YY7,['E3'],2022-02-01T23:04:13
323,NMPNRT,HAKXZ-GGRYH-46OTO,SEAQV-4VJFS-CRR1Z,['E3'],2022-02-01T23:04:17
324,NMPNRT,GF890-6U0HG-I0XCY,9H1PF-HKLG7-ZX7PE,['E3'],2022-02-01T23:04:22
325,NKGHXN,36MX6-W77OX-UEMC6,PL8R8-PJ0M2-HVK9I,['E3'],2022-02-01T23:04:24
326,NMPNRT,WS2OS-FGZJE-KWTC0,DJBTH-256L6-OEPZB,['E3'],2022-02-01T23:04:27
327,NCFXUR,SY5L1-GZM1W-JHBUA,PL8R8-PJ0M2-HVK9I,['E3'],2022-02-01T23:04:30
328,NKGHXN,ECW2X-85SXY-MWI7J,KFHL6-72HZU-U7138,['E3'],2022-02-01T23:04:31
329,NBAKPD,1Z4C2-UEHAT-RFT0S,RJQDC-7GONY-OREY2,['E3'],2022-02-01T23:04:32
330,NMPNRT,RYXOZ-2NZSN-3DYK1,LNM9C-EIJ9D-4RKZF,['E3'],2022-02-01T23:04:32
331,NMPNRT,X9WYA-L8QLX-87QTI,XMXF1-1UUXX-BIKG6,['E3'],2022-02-01T23:04:36
332,NUISCZ,BHLLV-RALUV-2LPAG,8FYKK-4GC8E-COZ1S,['E3'],2022-02-01T23:04:38
333,NMPNRT,SWDQL-ZETRJ-YR3DT,FSH8U-MMXQS-IRR5E,['E3'],2022-02-01T23:04:40
334,NKGHXN,33GA0-TY6LB-N78ZE,75LZX-91168-XCKJJ,['E3'],2022-02-01T23:04:43
335,NMPNRT,NFL87-P2EBO-76VH8,9T60Y-JHIUC-LSPZ2,['E3'],2022-02-01T23:04:45
336,NMPNRT,X92K2-JXW71-U4SV0,8FYKK-4GC8E-COZ1S,['E3'],2022-02-01T23:04:45
337,NCFXUR,S8FUP-XKQSG-MNNM7,36OSI-FFXH6-I8DD6,['E3'],2022-02-01T23:04:47
338,NMPNRT,3HRGB-SWFRN-MDXBY,A1C46-5QTUM-8MSN7,['E3'],2022-02-01T23:04:49
339,NSAPSG,4XVO8-5FON7-CR5FS,9R6CQ-ADDMG-OADZ6,['E3'],2022-02-01T23:04:49
340,NKGHXN,1FRQS-6HDDB-PA71U,JPJ4O-22HQB-BRX45,['E3'],2022-02-01T23:04:53
341,NKGHXN,VPDC2-NU02K-WCEFO,8FYKK-4GC8E-COZ1S,['E3'],2022-02-01T23:04:54
342,NMPNRT,3PR9Z-XE0UJ-AEQJQ,S6V3Y-OXVS6-IAZX7,['E3'],2022-02-01T23:04:54
343,NMPNRT,N0ITP-UGRPS-CZOE2,1J8K0-HLKBD-DPICU,['E3'],2022-02-01T23:04:57
344,NMPNRT,AOOQD-G709H-4BB6G,INXLU-P1N76-TI7K1,['E3'],2022-02-01T23:05:00
345,NCFXUR,92G8T-B5FOK-9MNJB,OA3YZ-4Q0YK-FOW31,['E3'],2022-02-01T23:05:01
346,NSAPSG,93BTD-LMC6O-PDZI2,4N71B-7J1D8-M5LEG,['E3'],2022-02-01T23:05:04
347,NMPNRT,MBKIE-55MWB-V4JZR,CMD7G-AZMQY-WK3CD,['E3'],2022-02-01T23:05:05
348,NMPNRT,ZJV7D-GFK9Y-WELY5,9U01U-J8JDM-HY7TN,['E3'],2022-02-01T23:05:09
349,NKGHXN,U3KSK-Y9TU8-WUF9Y,IQ020-5XM35-2YE6O,['E3'],2022-02-01T23:05:11
350,NMPNRT,A5KA6-5O0XT-794YX,1VTZH-QBNQW-8WK0P,['E3'],2022-02-01T23:05:13
351,NSAPSG,3CORB-T4R4Z-HA3JZ,520BK-HJ6DK-EAKSM,['E3'],2022-02-01T23:05:13
352,NSAPSG,XKTI1-JAITQ-B8X8F,75LZX-91168-XCKJJ,['E3'],2022-02-01T23:05:14
353,NMPNRT,2G796-GGXTX-G8ZZA,VC0AO-IQBC9-U1SLS,['E3'],2022-02-01T23:05:18
354,NCFXUR,KON57-AKHJT-UP8AR,R5KRN-QLZF3-GR39C,['E3'],2022-02-01T23:05:19
355,NMPNRT,0MTLU-M0J74-FIE61,EBN95-L4H4Y-2AZRQ,['E3'],2022-02-01T23:05:25
356,NMPNRT,44NJT-Y3AWF-Z4DGW,V0YUD-NLZP3-ODLBO,['E3'],2022-02-01T23:05:30
